MSV,classCode,subjectCode
18001071,BIO3330 CLCCNS,BIO3330 CLCCNS
18001097,MAT2308,MAT2308
18001097,MAT2403 1,MAT2403
18001097,MAT3452 1,MAT3452
18001097,MAT3525,MAT3525
18001097,MAT3539 2,MAT3539
18001106,PHY3508 2,PHY3508
18001106,PHY3606,PHY3606
18001106,PHY3608,PHY3608
18001126,CHE1080 2,CHE1080
18001126,PHY1100 14,PHY1100
18001126,PHY1103 6,PHY1103
18001179,BIO3258 1,BIO3258
18001199,POL1001 10,POL1001
18001200,BIO3258 1,BIO3258
18001200,BIO3304 2,BIO3304
18001200,MAT1090 1,MAT1090
18001207,MAT3539 1,MAT3539
18001207,MAT4073,MAT4073
18001210,PHI1002 7,PHI1002
18001240,MAT1101 9,MAT1101
18001240,MAT1192 4,MAT1192
18001240,PHY1100 9,PHY1100
18001244,BIO3304 1,BIO3304
18001258,EVS3232,EVS3232
18001260,PHI1002 10,PHI1002
18001289,HIS1056 1,HIS1056
18001304,MAT3539 1,MAT3539
18001304,MAT4073,MAT4073
18001317,GEO3219,GEO3219
18001317,HIS1056 10,HIS1056
18001317,MAT1091 7,MAT1091
18001317,MAT1092 3,MAT1092
18001317,PHY1103 1,PHY1103
18001328,PHY1161 1CTĐB,PHY1161 CTĐB
18001343,MAT3452 1,MAT3452
18001343,MAT3514 2,MAT3514
18001343,POL1001 7,POL1001
18001344,BIO3301 2CLCCNS,BIO3301 CLCCNS
18001344,BIO3330 CLCCNS,BIO3330 CLCCNS
18001379,EVS3232,EVS3232
18001392,PHY2004,PHY2004
18001392,PHY2302 3,PHY2302
18001423,MAT3452 1,MAT3452
18001423,MAT3514 2,MAT3514
18001423,MAT3539 1,MAT3539
18001456,MAT2301 1,MAT2301
18001456,MAT4072,MAT4072
18001461,MAT2301 1,MAT2301
18001461,MAT3300 3TNT,MAT3300 TNT
18001461,MAT4072,MAT4072
18001468,MAT4073,MAT4073
18001486,BIO2201 4,BIO2201
18001486,BIO3301 1CLCCNS,BIO3301 CLCCNS
18001486,BIO3330 CLCCNS,BIO3330 CLCCNS
18001503,MAT2502 2,MAT2502
18001503,MAT3535 CLCMTKHTT,MAT3535 CLCMTKHTT
18001503,PHI1002 7,PHI1002
18001565,GEO3266,GEO3266
18001565,MAT3533,MAT3533
18001565,MAT3539 2,MAT3539
18001615,BIO2400E 2CLCCNS,BIO2400E CLCCNS
18001615,BIO3182 2CLCCNS,BIO3182 CLCCNS
18001615,CHE1057 6CLCCNS,CHE1057 CLCCNS
